epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6061,0.67266,3.04829,1.06047,0.77999,0.08926,0.21582,0.19065,0.47589,2.81914,0.8235,0.00029694,0.00029694,0.00029694
2,152.574,0.69221,2.13989,1.09882,0.30872,0.60684,0.45478,0.37254,0.58541,2.16418,0.9274,0.000481152,0.000481152,0.000481152
3,236.988,0.68275,1.61683,1.08573,0.57427,0.71337,0.72436,0.60642,0.62591,1.46196,1.03799,0.000545376,0.000545376,0.000545376
4,318.404,0.65869,1.29705,1.07201,0.57722,0.81822,0.79377,0.67282,0.57337,1.20334,0.97894,0.000369054,0.000369054,0.000369054
5,399.191,0.60529,1.15604,1.04075,0.67759,0.88198,0.86282,0.75814,0.51928,1.04057,0.93087,0.000189072,0.000189072,0.000189072
