epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.989,0.62081,3.08565,1.19509,0.52159,0.15837,0.2824,0.22651,0.66726,3.55593,1.26252,0.00029694,0.00029694,0.00029694
2,595.255,0.65766,2.12473,1.18978,0.47328,0.6412,0.60637,0.44557,0.70113,2.95423,1.33023,0.000588061,0.000588061,0.000588061
3,884.338,0.65954,1.61494,1.18188,0.63469,0.80701,0.79487,0.65619,0.67619,2.04615,1.2619,0.000867184,0.000867184,0.000867184
